Date,t_mean,Temperature,Humidity,heater_onOff,T_set,is_sitting,T00_is_chair,T01_is_chair,T02_is_chair,PID Output,consumption
19.50.2021 21:50:38,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,3.411235955056179
19.50.2021 21:50:43,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,3.399264705882353
19.50.2021 21:50:48,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,3.3877256317689524
19.50.2021 21:50:53,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,3.376595744680851
19.50.2021 21:50:58,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,3.3658536585365852
19.51.2021 21:51:03,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,3.3554794520547944
19.51.2021 21:51:08,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,3.3454545454545457
19.51.2021 21:51:13,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,3.335761589403974
19.51.2021 21:51:18,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,3.326384364820847
19.51.2021 21:51:23,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,3.3173076923076916
19.51.2021 21:51:28,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,3.3085173501577287
19.51.2021 21:51:33,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,3.3
19.51.2021 21:51:38,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,3.2917431192660547
19.51.2021 21:51:43,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,3.2837349397590363
19.51.2021 21:51:48,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,3.2759643916913945
19.51.2021 21:51:53,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,3.268421052631579
19.51.2021 21:51:58,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,3.2610951008645532
19.52.2021 21:52:03,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,3.2539772727272727
19.52.2021 21:52:08,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,3.2470588235294118
19.52.2021 21:52:13,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,3.2403314917127073
19.52.2021 21:52:18,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,3.2337874659400545
19.52.2021 21:52:23,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,3.22741935483871
19.52.2021 21:52:28,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,3.2212201591511938
19.52.2021 21:52:33,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,3.2151832460732988
19.52.2021 21:52:38,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,3.2093023255813957
19.52.2021 21:52:43,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,3.2035714285714287
19.52.2021 21:52:48,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,3.189949748743718
19.52.2021 21:52:53,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,3.1846153846153844
19.52.2021 21:52:58,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,3.1794117647058817
